trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,0,-82.76401247702582,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-97.6718992383569,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-43.1730803312949,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,15,3.8992242235253425,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-119.03978658479757,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6235253948912}",30,0,-138.00309235895133,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-78.26125156782754,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.611117239532865}",25,19,2.5622540544212478,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-48.682768857603605,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.598956006466161}",30,9,-35.936026340024206,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,9,-63.97407904773798,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,11,-63.3427896938259,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,3,-14.665327678876798,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,0,-71.09052365371386,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-104.5760352265284,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,1,-22.008812607016807,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-37.31199730701104,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,8,-58.35394267885091,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-40.2393407832106,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,1,-60.50835586451994,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.536268225207185}",30,0,-46.8784174889034,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-29.289409423232424,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
